Raúl,Hernández,raúl.hernández@email.com,56686137H,1,13,8.97
Lucía,Gómez,lucía.gómez@email.com,86212777A,5,15,6.72
Carlos,Pérez,carlos.pérez@email.com,75226374B,5,12,5.93
Marta,Sánchez,marta.sánchez@email.com,99059941C,4,14,6.33
David,Fernández,david.fernández@email.com,96986856D,4,13,6.57
Ana,López,ana.lópez@email.com,94745156E,2,14,5.7
Jorge,Martínez,jorge.martínez@email.com,60118660F,4,12,7.04
Laura,Ruiz,laura.ruiz@email.com,29769273G,3,17,5.77
Elena,Castro,elena.castro@email.com,76891691I,4,14,5.3
Iván,Domínguez,iván.domínguez@email.com,32299946J,3,17,7.14
